,CA,FT,CrT,CoT,GCT,BT,FPC
1/1/2050 0:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 1:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 2:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 3:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 4:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 5:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 6:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 7:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 8:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 9:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 0:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 1:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 2:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 3:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 4:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 5:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 6:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 7:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 8:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 9:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
2/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 0:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 1:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 2:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 3:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 4:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 5:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 6:00,-886,-1055,-5052,-23557,-8897,-72108,0
3/1/2050 7:00,-886,-1055,-5052,-23557,-8897,-72108,0
